EPISODE,WINS,LOSSES,DRAWS,EXPLORATION RATE,LEARNING RATE,Q-TABLE SIZE
1000,444,430,126,0.99802099,0.29962509376563085,4985
2000,437,450,113,0.99604396,0.29925037512509384,8597
3000,443,430,127,0.9940689100000001,0.2988758441723503,11555
4000,459,418,123,0.9920958400000001,0.298501501001503,14031
5000,425,453,122,0.99012475,0.2981273457067963,16123
6000,443,429,128,0.98815564,0.2977533783826166,18020
7000,423,437,140,0.98618851,0.2973795991234928,19656
8000,423,434,143,0.98422336,0.29700600802409644,21055
9000,446,445,109,0.98226019,0.2966326051792423,22270
10000,443,438,119,0.9802989999999999,0.29625939068388846,23361
11000,437,441,122,0.97833979,0.295886364633137,24316
12000,439,441,120,0.97638256,0.29551352712223417,25118
13000,461,420,119,0.9744273099999999,0.2951408782465707,25833
14000,451,437,112,0.9724740399999999,0.2947684181016824,26446
15000,434,441,125,0.97052275,0.29439614678325027,27042
16000,425,453,122,0.96857344,0.294024064387101,27541
17000,454,428,118,0.96662611,0.2936521710092073,28029
18000,423,458,119,0.9646807599999999,0.2932804667456884,28447
19000,435,414,151,0.96273739,0.29290895169281017,28832
20000,419,455,126,0.9607959999999999,0.2925376259469858,29142
21000,406,458,136,0.95885659,0.2921664896047758,29438
22000,454,435,111,0.95691916,0.2917955427628888,29747
23000,413,444,143,0.9549837099999999,0.29142478551818163,29996
24000,434,438,128,0.9530502399999999,0.29105421796765973,30207
25000,474,411,115,0.9511187499999999,0.29068384020847765,30416
26000,449,433,118,0.9491892399999999,0.2903136523379394,30600
27000,428,462,110,0.9472617099999999,0.28994365445349873,30755
28000,440,438,122,0.94533616,0.28957384665275965,30911
29000,437,442,121,0.9434125899999999,0.28920422903347676,31054
30000,461,441,98,0.941491,0.2888348016935555,31181
31000,446,436,118,0.9395713899999999,0.28846556473105295,31292
32000,447,440,113,0.93765376,0.2880965182441776,31387
33000,437,445,118,0.93573811,0.2877276623312903,31470
34000,444,449,107,0.93382444,0.28735899709090446,31544
